datetime,timestamp,date,hour,internal_temp,internal_humidity,external_temp,external_humidity,electricity_cumulate_consumption,electric_consumption,electric_power_applied
05/09/2018 00:04:30,1536105870,9/5/2018,12:04:30 AM,22.1,67,19.7,78,165,0,0
05/09/2018 00:14:30,1536106470,9/5/2018,12:14:30 AM,22.1,67,19.4,79,180,15,90
05/09/2018 00:24:30,1536107070,9/5/2018,12:24:30 AM,22,67,19.2,81,195,15,90
05/09/2018 00:34:30,1536107670,9/5/2018,12:34:30 AM,22,67,19.1,82,204,9,54
05/09/2018 00:44:30,1536108270,9/5/2018,12:44:30 AM,22,67,19,82,212,8,48
05/09/2018 00:54:30,1536108870,9/5/2018,12:54:30 AM,22,67,18.9,83,227,15,90
05/09/2018 01:04:30,1536109470,9/5/2018,1:04:30 AM,22,67,18.8,84,242,15,90
05/09/2018 01:14:30,1536110070,9/5/2018,1:14:30 AM,22,67,18.7,84,257,15,90
05/09/2018 01:24:30,1536110670,9/5/2018,1:24:30 AM,22,67,18.6,85,268,11,66
05/09/2018 01:34:30,1536111270,9/5/2018,1:34:30 AM,22,67,18.6,85,275,7,42
05/09/2018 01:44:30,1536111870,9/5/2018,1:44:30 AM,22,67,18.5,86,290,15,90
05/09/2018 01:54:30,1536112470,9/5/2018,1:54:30 AM,21.9,67,18.5,86,305,15,90
05/09/2018 02:04:30,1536113070,9/5/2018,2:04:30 AM,21.9,67,18.5,86,320,15,90
05/09/2018 02:14:30,1536113670,9/5/2018,2:14:30 AM,21.9,67,18.4,87,331,11,66
05/09/2018 02:24:30,1536114270,9/5/2018,2:24:30 AM,21.9,67,18.4,87,338,7,42
05/09/2018 02:34:30,1536114870,9/5/2018,2:34:30 AM,21.9,67,18.4,87,351,13,78
05/09/2018 02:44:30,1536115470,9/5/2018,2:44:30 AM,21.9,67,18.4,87,366,15,90
05/09/2018 02:54:30,1536116070,9/5/2018,2:54:30 AM,21.9,67,18.5,87,382,16,96
05/09/2018 03:04:30,1536116670,9/5/2018,3:04:30 AM,21.9,67,18.5,87,393,11,66
05/09/2018 03:14:30,1536117270,9/5/2018,3:14:30 AM,21.9,67,18.4,87,400,7,42
05/09/2018 03:24:30,1536117870,9/5/2018,3:24:30 AM,21.9,67,18.4,88,413,13,78
05/09/2018 03:34:30,1536118470,9/5/2018,3:34:30 AM,21.9,67,18.4,88,428,15,90
05/09/2018 03:44:30,1536119070,9/5/2018,3:44:30 AM,21.9,67,18.3,88,443,15,90
05/09/2018 03:54:30,1536119670,9/5/2018,3:54:30 AM,21.9,67,18.2,88,455,12,72
05/09/2018 04:04:30,1536120270,9/5/2018,4:04:30 AM,21.9,67,18.2,89,463,8,48
05/09/2018 04:14:30,1536120870,9/5/2018,4:14:30 AM,21.9,67,18.1,89,476,13,78
05/09/2018 04:24:30,1536121470,9/5/2018,4:24:30 AM,21.9,67,18.1,89,491,15,90
05/09/2018 04:34:30,1536122070,9/5/2018,4:34:30 AM,21.9,67,18.1,89,506,15,90
05/09/2018 04:44:30,1536122670,9/5/2018,4:44:30 AM,21.9,67,18.1,89,517,11,66
05/09/2018 04:54:30,1536123270,9/5/2018,4:54:30 AM,21.9,67,18.1,89,524,7,42
05/09/2018 05:04:30,1536123870,9/5/2018,5:04:30 AM,21.9,67,18.2,89,537,13,78
05/09/2018 05:14:30,1536124470,9/5/2018,5:14:30 AM,21.9,67,18.2,89,553,16,96
05/09/2018 05:24:30,1536125070,9/5/2018,5:24:30 AM,21.9,67,18.1,89,568,15,90
05/09/2018 05:34:30,1536125670,9/5/2018,5:34:30 AM,21.9,67,18.1,90,579,11,66
05/09/2018 05:44:30,1536126270,9/5/2018,5:44:30 AM,21.9,67,18.1,90,586,7,42
05/09/2018 05:54:30,1536126870,9/5/2018,5:54:30 AM,21.9,67,18.1,90,599,13,78
05/09/2018 06:04:30,1536127470,9/5/2018,6:04:30 AM,21.9,67,18.1,90,614,15,90
05/09/2018 06:14:30,1536128070,9/5/2018,6:14:30 AM,21.9,67,18.1,91,629,15,90
05/09/2018 06:24:30,1536128670,9/5/2018,6:24:30 AM,21.9,68,18.1,91,640,11,66
05/09/2018 06:34:30,1536129270,9/5/2018,6:34:30 AM,21.9,68,18.1,91,648,8,48
05/09/2018 06:44:30,1536129870,9/5/2018,6:44:30 AM,21.9,68,18.1,91,661,13,78
05/09/2018 06:54:30,1536130470,9/5/2018,6:54:30 AM,21.9,68,18.2,91,676,15,90
05/09/2018 07:04:30,1536131070,9/5/2018,7:04:30 AM,21.9,68,18.2,91,691,15,90
05/09/2018 07:14:30,1536131670,9/5/2018,7:14:30 AM,21.9,68,18.2,91,701,10,60
05/09/2018 07:24:30,1536132270,9/5/2018,7:24:30 AM,21.9,68,18.2,91,709,8,48
05/09/2018 07:34:30,1536132870,9/5/2018,7:34:30 AM,21.9,68,18.2,91,723,14,84
05/09/2018 07:44:30,1536133470,9/5/2018,7:44:30 AM,21.9,68,18.3,91,738,15,90
05/09/2018 07:54:30,1536134070,9/5/2018,7:54:30 AM,21.9,68,18.4,91,753,15,90
05/09/2018 08:04:30,1536134670,9/5/2018,8:04:30 AM,21.9,68,18.5,91,763,10,60
05/09/2018 08:14:30,1536135270,9/5/2018,8:14:30 AM,21.9,68,18.6,89,770,7,42
