Year;Month;Day;Hour;Minute;Total Precipitation (high resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2017;12;31;23;00;0.00;0.00;2.00;0.00;0.00;31.73;245.18
2018;01;01;00;00;0.00;0.00;6.00;0.00;0.00;35.74;243.69
2018;01;01;01;00;0.00;0.00;0.00;0.00;0.00;36.55;243.69
2018;01;01;02;00;0.00;0.00;33.00;0.00;0.00;38.00;244.16
2018;01;01;03;00;0.00;0.00;56.00;0.00;0.00;37.80;250.53
2018;01;01;04;00;0.00;0.00;65.00;0.00;0.00;33.33;259.42
2018;01;01;05;00;0.00;0.00;100.00;0.00;0.00;30.50;262.54
2018;01;01;06;00;0.00;0.00;100.00;0.00;0.00;29.89;260.99
2018;01;01;07;00;0.00;0.00;100.00;0.00;0.00;28.36;261.97
2018;01;01;08;00;0.00;0.00;83.00;0.00;0.00;23.54;246.57
2018;01;01;09;00;0.00;0.00;100.00;0.00;0.00;32.21;242.00
2018;01;01;10;00;0.00;0.00;34.00;0.00;0.00;26.49;222.80
2018;01;01;11;00;0.00;0.00;100.00;38.30;64.08;29.60;221.05
2018;01;01;12;00;0.00;0.00;100.00;0.00;65.86;31.67;211.52
2018;01;01;13;00;0.70;0.00;100.00;0.00;49.84;29.76;214.65
2018;01;01;14;00;3.10;0.00;100.00;0.00;82.77;30.97;178.67
2018;01;01;15;00;0.80;0.00;100.00;0.00;64.97;27.50;194.40
2018;01;01;16;00;0.60;0.00;100.00;0.00;37.38;20.93;206.57
2018;01;01;17;00;0.70;0.00;100.00;0.00;24.92;22.15;225.66
2018;01;01;18;00;1.80;0.00;100.00;0.00;14.24;29.95;260.31
2018;01;01;19;00;1.80;0.00;100.00;0.00;0.00;36.95;326.93
2018;01;01;20;00;0.00;0.00;100.00;0.00;0.00;33.27;305.75
2018;01;01;21;00;0.00;0.00;0.00;0.00;0.00;34.57;301.37
2018;01;01;22;00;0.00;0.00;100.00;0.00;0.00;36.06;296.05
2018;01;01;23;00;0.00;0.00;100.00;0.00;0.00;37.39;293.85
2018;01;02;00;00;0.00;0.00;23.00;0.00;0.00;35.83;292.44
2018;01;02;01;00;0.00;0.00;100.00;0.00;0.00;36.45;290.22
2018;01;02;02;00;0.00;0.00;66.00;0.00;0.00;38.31;291.50
2018;01;02;03;00;0.00;0.00;89.00;0.00;0.00;36.41;294.54
2018;01;02;04;00;0.00;0.00;100.00;0.00;0.00;33.65;297.39
2018;01;02;05;00;0.00;0.00;0.00;0.00;0.00;26.41;297.61
2018;01;02;06;00;0.00;0.00;0.00;0.00;0.00;20.00;293.33
2018;01;02;07;00;0.00;0.00;97.00;0.00;0.00;19.01;288.78
2018;01;02;08;00;0.00;0.00;100.00;0.00;0.00;17.46;284.32
2018;01;02;09;00;0.00;0.00;100.00;0.00;0.00;15.19;275.44
2018;01;02;10;00;0.00;0.00;100.00;0.00;0.00;13.76;263.99
2018;01;02;11;00;0.00;0.00;100.00;0.00;33.82;17.19;250.43
2018;01;02;12;00;0.00;0.00;71.00;0.00;106.80;19.65;241.56
2018;01;02;13;00;0.00;0.00;100.00;14.68;216.27;23.07;235.81
2018;01;02;14;00;0.00;0.00;100.00;0.00;201.14;23.07;214.19
2018;01;02;15;00;0.00;0.00;100.00;0.00;104.13;23.86;213.93
2018;01;02;16;00;0.20;0.00;100.00;0.00;47.17;25.34;202.56
2018;01;02;17;00;0.20;0.00;100.00;0.00;34.71;30.93;204.78
2018;01;02;18;00;0.50;0.00;100.00;0.00;9.79;33.35;224.56
2018;01;02;19;00;0.00;0.00;100.00;0.00;0.00;29.46;237.48
2018;01;02;20;00;0.00;0.00;100.00;0.00;0.00;25.60;244.16
2018;01;02;21;00;0.00;0.00;100.00;0.00;0.00;21.49;238.71
2018;01;02;22;00;0.00;0.00;100.00;0.00;0.00;24.20;239.62
2018;01;02;23;00;0.00;0.00;100.00;0.00;0.00;26.46;236.09
2018;01;03;00;00;0.00;0.00;100.00;0.00;0.00;31.32;226.40
2018;01;03;01;00;0.00;0.00;100.00;0.00;0.00;38.00;228.46
2018;01;03;02;00;0.00;0.00;100.00;0.00;0.00;40.57;228.96
2018;01;03;03;00;0.20;0.00;100.00;0.00;0.00;44.36;231.92
2018;01;03;04;00;0.30;0.00;100.00;0.00;0.00;44.28;244.48
2018;01;03;05;00;1.10;0.00;100.00;0.00;0.00;50.77;268.78
2018;01;03;06;00;1.00;0.00;100.00;0.00;0.00;52.62;267.26
2018;01;03;07;00;0.50;0.00;100.00;0.00;0.00;50.04;269.59
2018;01;03;08;00;0.80;0.00;100.00;0.00;0.00;53.00;277.41
2018;01;03;09;00;0.40;0.00;100.00;0.00;0.00;51.68;278.41
2018;01;03;10;00;0.00;0.00;100.00;0.00;0.00;49.36;280.08
2018;01;03;11;00;0.00;0.00;100.00;0.00;44.50;49.43;280.49
2018;01;03;12;00;0.00;0.00;36.00;0.00;121.04;48.89;279.32
2018;01;03;13;00;0.10;0.00;100.00;37.02;165.54;47.75;275.62
2018;01;03;14;00;0.10;0.00;59.00;0.00;138.84;51.02;278.93
2018;01;03;15;00;0.30;0.00;100.00;22.34;145.96;50.07;279.94
2018;01;03;16;00;0.10;0.00;100.00;0.00;121.93;46.44;277.13
2018;01;03;17;00;0.00;0.00;100.00;0.00;104.13;47.07;276.15
2018;01;03;18;00;0.00;0.00;100.00;0.00;27.59;45.86;274.50
2018;01;03;19;00;0.00;0.00;91.00;0.00;0.00;43.32;274.29
2018;01;03;20;00;0.00;0.00;100.00;0.00;0.00;41.56;274.97
2018;01;03;21;00;0.00;0.00;42.00;0.00;0.00;39.40;275.24
2018;01;03;22;00;0.00;0.00;59.00;0.00;0.00;36.54;275.65
2018;01;03;23;00;0.00;0.00;54.00;0.00;0.00;32.83;273.77
2018;01;04;00;00;0.00;0.00;100.00;0.00;0.00;31.04;273.99
2018;01;04;01;00;0.00;0.00;0.00;0.00;0.00;29.24;274.24
2018;01;04;02;00;0.00;0.00;100.00;0.00;0.00;21.08;262.15
2018;01;04;03;00;0.00;0.00;100.00;0.00;0.00;30.62;267.98
2018;01;04;04;00;0.00;0.00;100.00;0.00;0.00;24.10;256.17
2018;01;04;05;00;0.30;0.00;100.00;0.00;0.00;23.81;249.65
2018;01;04;06;00;0.20;0.00;100.00;0.00;0.00;19.67;246.25
2018;01;04;07;00;0.80;0.00;100.00;0.00;0.00;15.35;230.71
2018;01;04;08;00;1.40;0.00;100.00;0.00;0.00;10.46;206.57
2018;01;04;09;00;2.10;0.00;100.00;0.00;0.00;7.93;177.40
2018;01;04;10;00;1.70;0.00;100.00;0.00;0.00;8.91;133.36
2018;01;04;11;00;1.20;0.00;100.00;0.00;8.01;8.40;133.26
