fulldate,value,external_temp,internal_temp,internal_humidity,external_humidity,day,month,year,hour
12/31/2017 23:00,65,7.783333333,18.26666667,50,82,31,12,2017,23
1/1/2018 0:00,29,7.533333333,18.15,49.33333333,80.33333333,1,1,2018,0
1/1/2018 1:00,38,6.983333333,17.96666667,49,82.33333333,1,1,2018,1
1/1/2018 2:00,30,6.283333333,17.78333333,49,85.83333333,1,1,2018,2
1/1/2018 3:00,39,5.85,17.6,49,87,1,1,2018,3
1/1/2018 4:00,31,5.783333333,17.51666667,49,88.16666667,1,1,2018,4
1/1/2018 5:00,30,5.783333333,17.38333333,48.83333333,89,1,1,2018,5
1/1/2018 6:00,149,5.3,17.3,48.66666667,89.83333333,1,1,2018,6
1/1/2018 7:00,121,4.9,17.56666667,49.16666667,89.66666667,1,1,2018,7
1/1/2018 8:00,110,5.066666667,17.9,49,91.83333333,1,1,2018,8
1/1/2018 9:00,342,5.783333333,18.16666667,48.66666667,90.83333333,1,1,2018,9
1/1/2018 10:00,180,6.266666667,18.56666667,48.16666667,91.16666667,1,1,2018,10
1/1/2018 11:00,273,6.583333333,18.61666667,48,93.16666667,1,1,2018,11
1/1/2018 12:00,107,6.266666667,18.71666667,48.5,92.5,1,1,2018,12
1/1/2018 13:00,96,5.916666667,18.51666667,47,93.66666667,1,1,2018,13
1/1/2018 14:00,96,6.133333333,18.35,47,98.16666667,1,1,2018,14
1/1/2018 15:00,143,6.55,18.21666667,47.5,99.83333333,1,1,2018,15
1/1/2018 16:00,176,6.6,18.2,47,99.16666667,1,1,2018,16
1/1/2018 17:00,124,6.4,18.2,46.5,96.66666667,1,1,2018,17
1/1/2018 18:00,262,5.583333333,17.91666667,45.5,95,1,1,2018,18
1/1/2018 19:00,111,5.333333333,17.66666667,46,96.16666667,1,1,2018,19
1/1/2018 20:00,129,5.25,17.5,45.5,93.83333333,1,1,2018,20
1/1/2018 21:00,134,5.466666667,17.56666667,45,95.5,1,1,2018,21
1/1/2018 22:00,75,5.55,17.65,44,93.83333333,1,1,2018,22
1/1/2018 23:00,40,5.666666667,17.61666667,44,91.83333333,1,1,2018,23
1/2/2018 0:00,36,6.033333333,17.16666667,43.66666667,89.33333333,2,1,2018,0
1/2/2018 1:00,36,6.133333333,16.8,44,88.16666667,2,1,2018,1
1/2/2018 2:00,37,5.933333333,16.5,44,87.83333333,2,1,2018,2
1/2/2018 3:00,47,5.65,16.31666667,44,89.16666667,2,1,2018,3
1/2/2018 4:00,37,4.95,16.2,44.5,91.83333333,2,1,2018,4
1/2/2018 5:00,40,4.35,16.15,45,93.5,2,1,2018,5
1/2/2018 6:00,337,3.783333333,16.21666667,46.16666667,95.66666667,2,1,2018,6
1/2/2018 7:00,687,3.133333333,16.71666667,46.66666667,96.5,2,1,2018,7
1/2/2018 8:00,189,3.016666667,17.31666667,47.66666667,97,2,1,2018,8
1/2/2018 9:00,177,3.916666667,17.6,49.66666667,97.33333333,2,1,2018,9
