fulldate,value,external_temp,internal_temp,internal_humidity,external_humidity,day,month,year,hour,Total Precipitation,Snowfall Amount,Total Cloud Cover,Sunshine Duration,Shortwave Radiation,Wind Speed,Wind Direction
12/31/2017 23:00,65,7.783333333,18.26666667,50,82,31,12,2017,23,0,0,2,0,0,31.73,245.18
1/1/2018 0:00,29,7.533333333,18.15,49.33333333,80.33333333,1,1,2018,0,0,0,6,0,0,35.74,243.69
1/1/2018 1:00,38,6.983333333,17.96666667,49,82.33333333,1,1,2018,1,0,0,0,0,0,36.55,243.69
1/1/2018 2:00,30,6.283333333,17.78333333,49,85.83333333,1,1,2018,2,0,0,33,0,0,38,244.16
1/1/2018 3:00,39,5.85,17.6,49,87,1,1,2018,3,0,0,56,0,0,37.8,250.53
1/1/2018 4:00,31,5.783333333,17.51666667,49,88.16666667,1,1,2018,4,0,0,65,0,0,33.33,259.42
1/1/2018 5:00,30,5.783333333,17.38333333,48.83333333,89,1,1,2018,5,0,0,100,0,0,30.5,262.54
1/1/2018 6:00,149,5.3,17.3,48.66666667,89.83333333,1,1,2018,6,0,0,100,0,0,29.89,260.99
1/1/2018 7:00,121,4.9,17.56666667,49.16666667,89.66666667,1,1,2018,7,0,0,100,0,0,28.36,261.97
1/1/2018 8:00,110,5.066666667,17.9,49,91.83333333,1,1,2018,8,0,0,83,0,0,23.54,246.57
1/1/2018 9:00,342,5.783333333,18.16666667,48.66666667,90.83333333,1,1,2018,9,0,0,100,0,0,32.21,242
1/1/2018 10:00,180,6.266666667,18.56666667,48.16666667,91.16666667,1,1,2018,10,0,0,34,0,0,26.49,222.8
1/1/2018 11:00,273,6.583333333,18.61666667,48,93.16666667,1,1,2018,11,0,0,100,38.3,64.08,29.6,221.05
1/1/2018 12:00,107,6.266666667,18.71666667,48.5,92.5,1,1,2018,12,0,0,100,0,65.86,31.67,211.52
1/1/2018 13:00,96,5.916666667,18.51666667,47,93.66666667,1,1,2018,13,0.7,0,100,0,49.84,29.76,214.65
1/1/2018 14:00,96,6.133333333,18.35,47,98.16666667,1,1,2018,14,3.1,0,100,0,82.77,30.97,178.67
1/1/2018 15:00,143,6.55,18.21666667,47.5,99.83333333,1,1,2018,15,0.8,0,100,0,64.97,27.5,194.4
1/1/2018 16:00,176,6.6,18.2,47,99.16666667,1,1,2018,16,0.6,0,100,0,37.38,20.93,206.57
1/1/2018 17:00,124,6.4,18.2,46.5,96.66666667,1,1,2018,17,0.7,0,100,0,24.92,22.15,225.66
1/1/2018 18:00,262,5.583333333,17.91666667,45.5,95,1,1,2018,18,1.8,0,100,0,14.24,29.95,260.31
1/1/2018 19:00,111,5.333333333,17.66666667,46,96.16666667,1,1,2018,19,1.8,0,100,0,0,36.95,326.93
1/1/2018 20:00,129,5.25,17.5,45.5,93.83333333,1,1,2018,20,0,0,100,0,0,33.27,305.75
1/1/2018 21:00,134,5.466666667,17.56666667,45,95.5,1,1,2018,21,0,0,0,0,0,34.57,301.37
1/1/2018 22:00,75,5.55,17.65,44,93.83333333,1,1,2018,22,0,0,100,0,0,36.06,296.05
1/1/2018 23:00,40,5.666666667,17.61666667,44,91.83333333,1,1,2018,23,0,0,100,0,0,37.39,293.85
1/2/2018 0:00,36,6.033333333,17.16666667,43.66666667,89.33333333,2,1,2018,0,0,0,23,0,0,35.83,292.44
1/2/2018 1:00,36,6.133333333,16.8,44,88.16666667,2,1,2018,1,0,0,100,0,0,36.45,290.22
1/2/2018 2:00,37,5.933333333,16.5,44,87.83333333,2,1,2018,2,0,0,66,0,0,38.31,291.5
1/2/2018 3:00,47,5.65,16.31666667,44,89.16666667,2,1,2018,3,0,0,89,0,0,36.41,294.54
1/2/2018 4:00,37,4.95,16.2,44.5,91.83333333,2,1,2018,4,0,0,100,0,0,33.65,297.39
1/2/2018 5:00,40,4.35,16.15,45,93.5,2,1,2018,5,0,0,0,0,0,26.41,297.61
1/2/2018 6:00,337,3.783333333,16.21666667,46.16666667,95.66666667,2,1,2018,6,0,0,0,0,0,20,293.33
1/2/2018 7:00,167.0342648,3.133333333,16.71666667,46.66666667,96.5,2,1,2018,7,0,0,97,0,0,19.01,288.78
1/2/2018 8:00,189,3.016666667,17.31666667,47.66666667,97,2,1,2018,8,0,0,100,0,0,17.46,284.32
1/2/2018 9:00,177,3.916666667,17.6,49.66666667,97.33333333,2,1,2018,9,0,0,100,0,0,15.19,275.44
1/2/2018 10:00,37,5.083333333,17.73333333,48.33333333,97.33333333,2,1,2018,10,0,0,100,0,0,13.76,263.99
1/2/2018 11:00,167.0342648,5.966666667,17.96666667,47.33333333,95.83333333,2,1,2018,11,0,0,100,0,33.82,17.19,250.43
1/2/2018 12:00,166,6.266666667,18.96666667,44.33333333,94.33333333,2,1,2018,12,0,0,71,0,106.8,19.65,241.56
1/2/2018 13:00,176,6.25,18.31666667,43,94.33333333,2,1,2018,13,0,0,100,14.68,216.27,23.07,235.81
